sequence,exercise,camera_id,sequence_status,uncertainty_reasons,vggt_rotation_pairwise_p95_deg,vggt_center_dispersion_p95,refined_rotation_change_deg,refined_center_change_scene_fraction,accepted_observations,post_residual_median_px,post_residual_p90_px,post_residual_p95_px,good_samples,downweighted_samples,rejected_samples,radial_pattern,uncertainty_semantics
deadlift_0002,deadlift,cam2,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",0.6741462623099371,0.00674636459079844,0.0007740558794998665,8.039160127920941e-07,81,3.2874468056881976,8.91073748902106,10.781312243326049,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
deadlift_0002,deadlift,cam3,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",0.44133477366982826,0.006398184260418454,0.0020921677473966123,3.4764566707944405e-06,69,4.375366126254854,7.577990639406822,10.396110775786088,7,1,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
deadlift_0003,deadlift,cam1,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",0.2568238836915362,0.0034132304355320334,0.0,0.0,74,2.3586393930451255,5.368072557249437,9.13806180539,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
deadlift_0003,deadlift,cam2,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",1.094559879855476,0.022366216769786784,1.4950780409696252,0.0004430504617155297,92,1.9383795853033297,6.376753694506149,9.872631208754363,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
deadlift_0003,deadlift,cam3,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",1.0067559139686475,0.02312397363784939,0.7877436063543115,0.004057317180422856,70,2.829423843625971,8.838891706297622,9.168447768007224,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
latpulldown_0000,latpulldown,cam1,PASS,[],0.07710030606069507,0.0009376838120739775,0.0,0.0,186,1.833054132187729,7.150902711569042,7.524610722141182,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
latpulldown_0000,latpulldown,cam2,PASS,[],0.18582686539180154,0.002424850536992768,0.11577889221109168,0.00030863093672936866,134,1.7498130972444108,4.714600215450505,6.982268737649807,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
latpulldown_0000,latpulldown,cam3,PASS,[],0.1772546725231002,0.0027142843611791126,0.3666498739411057,0.0004695636964903044,143,1.9220660647554246,4.714872335431548,7.0212620124436365,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
latpulldown_0001,latpulldown,cam1,PASS,[],0.0434255209339897,0.0007284711086151788,0.0,0.0,169,2.5439545703734394,4.748243718651088,8.501018502779523,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
latpulldown_0001,latpulldown,cam2,PASS,[],0.14280682539709386,0.0011678981276260956,0.33449941258626464,0.0002938816641615946,138,2.244128884117159,5.001468909782791,5.680519355701778,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
latpulldown_0001,latpulldown,cam3,PASS,[],0.20846529243104095,0.0033921721441041806,0.2604903851526426,0.002717828790359564,159,1.8922118096123965,5.370388810871615,9.376609508056795,7,1,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
latpulldown_0002,latpulldown,cam1,PASS,[],0.08658984292188873,0.0011024740725929117,0.0,0.0,140,3.787329397586452,10.150422272035346,11.194245942299245,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
latpulldown_0002,latpulldown,cam2,PASS,[],0.22777773253530156,0.0014898124656898412,4.831182115990019e-05,1.664920257202432e-07,145,3.383562605257077,8.380918344173228,10.220799671269052,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
latpulldown_0002,latpulldown,cam3,PASS,[],0.30763939437670473,0.0035175154039029624,1.835116892281229e-05,1.4094561758135737e-07,145,3.433750841841521,9.167681426261336,11.98905903303902,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
latpulldown_0003,latpulldown,cam1,REVIEW,"[""TAIL_REPROJECTION_WORSENED""]",0.07549135906611897,0.0006700574423694861,0.0,0.0,173,3.1588218883033705,9.445481324422252,14.943250292788651,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
latpulldown_0003,latpulldown,cam2,REVIEW,"[""TAIL_REPROJECTION_WORSENED""]",0.20849601042547955,0.0018738675752650864,0.15038796176932967,0.00024287238188822752,170,2.0119848763663812,8.073909547234853,10.792745986088011,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
latpulldown_0003,latpulldown,cam3,REVIEW,"[""TAIL_REPROJECTION_WORSENED""]",0.2798991387001886,0.003532296167625872,0.1972184712217202,0.0007082930973957612,126,3.366396879980066,10.013617099957965,10.922577656910926,6,2,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
pushup_0000,pushup,cam1,REVIEW,"[""TAIL_REPROJECTION_WORSENED"", ""LIMITED_TRACK_SUPPORT"", ""NO_THREE_CAMERA_TRACKS""]",0.17334309667698347,0.001587436077033861,0.0,0.0,44,2.6591388170166863,10.345591613382132,11.317697704726449,7,1,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
pushup_0000,pushup,cam2,REVIEW,"[""TAIL_REPROJECTION_WORSENED"", ""LIMITED_TRACK_SUPPORT"", ""NO_THREE_CAMERA_TRACKS""]",1.909994719820621,0.01428296922847457,0.39072392844382253,0.001261354007688458,86,2.8694617991444797,9.840214531834363,10.192367512121589,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
pushup_0000,pushup,cam3,REVIEW,"[""TAIL_REPROJECTION_WORSENED"", ""LIMITED_TRACK_SUPPORT"", ""NO_THREE_CAMERA_TRACKS""]",1.3184663423085892,0.010393302502949278,2.550309955565573,0.002290172318878684,87,3.314644940919459,5.260272914151868,10.408240392513353,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
pushup_0001,pushup,cam1,REVIEW,"[""LIMITED_TRACK_SUPPORT"", ""NO_THREE_CAMERA_TRACKS""]",0.5010785623529257,0.001045781098296211,0.0,0.0,40,2.5051162181655764,4.11498395430232,7.1928416511404665,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
pushup_0001,pushup,cam2,REVIEW,"[""LIMITED_TRACK_SUPPORT"", ""NO_THREE_CAMERA_TRACKS""]",1.2862592691177257,0.012211519187702708,0.5290351744527496,0.0031909580521823234,111,2.577622202610467,5.635635442795881,9.940901718413352,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
pushup_0001,pushup,cam3,REVIEW,"[""LIMITED_TRACK_SUPPORT"", ""NO_THREE_CAMERA_TRACKS""]",3.024123569871588,0.013095088841595682,0.8468742885317428,0.00034604635481082235,86,1.6154129839020643,2.8289152706986416,3.000103800775138,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
pushup_0002,pushup,cam1,REVIEW,"[""LIMITED_TRACK_SUPPORT"", ""NO_THREE_CAMERA_TRACKS""]",0.23335022838415406,0.0024309219655494875,0.0,0.0,76,2.2625116475749207,6.483506854364503,6.521231854927678,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
pushup_0002,pushup,cam2,REVIEW,"[""LIMITED_TRACK_SUPPORT"", ""NO_THREE_CAMERA_TRACKS""]",1.2629135464398251,0.012875776290447182,1.7289392060890454,0.0019794942637818007,69,2.210092561885366,4.757888847468127,7.123903167712392,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
pushup_0002,pushup,cam3,REVIEW,"[""LIMITED_TRACK_SUPPORT"", ""NO_THREE_CAMERA_TRACKS""]",2.3479973522577553,0.03966168963256196,3.207233273598562,0.003352336318087599,19,0.5806505129850175,2.3167955592314664,2.393862131138339,7,1,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
pushup_0003,pushup,cam1,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",0.14295995965042946,0.003143625103215866,0.0,0.0,30,2.510634216832428,4.985979750270339,7.085388627337983,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
pushup_0003,pushup,cam2,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",1.421551171766158,0.01295217412308279,2.5381488821241467,0.003830408511127825,72,3.134577506458575,6.569111452664546,9.186354854704009,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
pushup_0003,pushup,cam3,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",3.372713671091773,0.0695398639276213,1.8585467232962887,0.0034935168580505346,81,2.37439268442905,4.865495466006791,4.9460224605634036,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
pushup_0004,pushup,cam1,REVIEW,"[""LIMITED_TRACK_SUPPORT"", ""NO_THREE_CAMERA_TRACKS""]",0.21669457043268425,0.0015928031261624586,0.0,0.0,75,2.2087317757357647,5.8630228849722785,7.697782485056745,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
pushup_0004,pushup,cam2,REVIEW,"[""LIMITED_TRACK_SUPPORT"", ""NO_THREE_CAMERA_TRACKS""]",0.4596057055271254,0.004225680337529177,1.355099599705409,0.0011046004696239665,47,2.057298941272109,5.217784700105495,6.849124089078282,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
pushup_0004,pushup,cam3,REVIEW,"[""LIMITED_TRACK_SUPPORT"", ""NO_THREE_CAMERA_TRACKS""]",3.2965576513091235,0.03552890271970235,0.41248328723646177,0.0010133222401907665,84,2.3685993922483632,4.674559053411287,7.162081134940067,7,1,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
squat_0000,squat,cam1,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",0.21763162432495237,0.001063559080558838,0.0,0.0,68,3.175045106607782,5.648390949277384,5.7865833872818495,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
squat_0000,squat,cam2,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",3.377477527981547,0.02986467195814792,0.49024931573768954,0.001160328855367271,53,4.290283457812722,7.086483753176685,7.143173040484925,6,2,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
squat_0000,squat,cam3,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",1.0765148569697747,0.010025444076830755,0.9937410705541936,0.002267765231928296,77,2.650556226807632,7.6913501878956705,8.387924818270408,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
squat_0001,squat,cam1,REVIEW,"[""TAIL_REPROJECTION_WORSENED"", ""LIMITED_TRACK_SUPPORT"", ""CAM2_VGGT_OUTLIER_REQUIRES_UNCERTAINTY_PROPAGATION""]",0.3707675486013468,0.002907933307677125,0.0,0.0,121,3.6449971186570376,7.762671109397003,11.075140004614775,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
squat_0001,squat,cam2,REVIEW,"[""TAIL_REPROJECTION_WORSENED"", ""LIMITED_TRACK_SUPPORT"", ""CAM2_VGGT_OUTLIER_REQUIRES_UNCERTAINTY_PROPAGATION""]",18.498496796828103,0.10253739071719328,1.5229555311809473,0.0003461922361439652,39,4.085136528455445,5.505714913513169,13.444708104187352,5,2,1,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
squat_0001,squat,cam3,REVIEW,"[""TAIL_REPROJECTION_WORSENED"", ""LIMITED_TRACK_SUPPORT"", ""CAM2_VGGT_OUTLIER_REQUIRES_UNCERTAINTY_PROPAGATION""]",1.0579701806837332,0.011539226526714947,0.38587604038434514,0.0029823506590068837,129,3.302575761115203,6.300407785119446,9.247129985678523,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
squat_0002,squat,cam1,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",0.1834741483711105,0.001893640928035723,0.0,0.0,149,2.9581062237443883,5.05127380239649,5.567809827454776,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
squat_0002,squat,cam2,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",7.896682474604452,0.05514393865596526,1.1899592543981101,0.005291063655632728,76,2.7820164558845404,6.084700435652341,7.7402255948270895,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
squat_0002,squat,cam3,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",0.47079439525532574,0.00855765271669696,3.1929434880577343,0.005138052906710821,98,3.4383529176230168,7.773407659657964,8.585909717854653,7,1,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
squat_0003,squat,cam1,REVIEW,"[""TAIL_REPROJECTION_WORSENED""]",0.46962815898998955,0.002983333511869,0.0,0.0,203,2.566529099247412,9.364754560130807,10.086313045428378,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
squat_0003,squat,cam2,REVIEW,"[""TAIL_REPROJECTION_WORSENED""]",2.407078287413996,0.021160723722220734,0.46228409671367865,0.001430989214141271,99,1.814839422830131,6.134685833276142,6.3974858081460315,7,0,1,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
squat_0003,squat,cam3,REVIEW,"[""TAIL_REPROJECTION_WORSENED""]",0.9039230564026491,0.00804844588190688,0.18067683922630842,0.0009691422900843124,146,3.5024593407075457,9.262590724095103,10.715430301444794,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
